Date,GDPCTOT% Index_ratio_annual
1950-09-06,
1950-09-07,
1950-09-08,
1950-09-09,
1950-09-10,
1950-09-11,
1950-09-12,
1950-09-13,
1950-09-14,
1950-09-15,
1950-09-16,
1950-09-17,
1950-09-18,
1950-09-19,
1950-09-20,
1950-09-21,
1950-09-22,
1950-09-23,
1950-09-24,
1950-09-25,
1950-09-26,
1950-09-27,
1950-09-28,
1950-09-29,
1950-09-30,
1950-10-01,
1950-10-02,
1950-10-03,
1950-10-04,
1950-10-05,
1950-10-06,
1950-10-07,
1950-10-08,
1950-10-09,
1950-10-10,
1950-10-11,
1950-10-12,
1950-10-13,
1950-10-14,
1950-10-15,
1950-10-16,
1950-10-17,
1950-10-18,
1950-10-19,
1950-10-20,
1950-10-21,
1950-10-22,
1950-10-23,
1950-10-24,
1950-10-25,
1950-10-26,
1950-10-27,
1950-10-28,
1950-10-29,
1950-10-30,
1950-10-31,
1950-11-01,
1950-11-02,
1950-11-03,
1950-11-04,
1950-11-05,
1950-11-06,
1950-11-07,
1950-11-08,
1950-11-09,
1950-11-10,
1950-11-11,
1950-11-12,
1950-11-13,
1950-11-14,
1950-11-15,
1950-11-16,
1950-11-17,
1950-11-18,
1950-11-19,
1950-11-20,
1950-11-21,
1950-11-22,
1950-11-23,
1950-11-24,
1950-11-25,
1950-11-26,
1950-11-27,
1950-11-28,
1950-11-29,
1950-11-30,
1950-12-01,
1950-12-02,
1950-12-03,
1950-12-04,
1950-12-05,
1950-12-06,
1950-12-07,
1950-12-08,
1950-12-09,
1950-12-10,
1950-12-11,
1950-12-12,
1950-12-13,
1950-12-14,
1950-12-15,
1950-12-16,
1950-12-17,
1950-12-18,
1950-12-19,
1950-12-20,
1950-12-21,
1950-12-22,
1950-12-23,
1950-12-24,
1950-12-25,
1950-12-26,
1950-12-27,
1950-12-28,
1950-12-29,
1950-12-30,
1950-12-31,
1951-01-01,
1951-01-02,
1951-01-03,4.315342465753423
1951-01-04,4.26739726027397
1951-01-05,4.219452054794518
1951-01-06,4.171506849315067
1951-01-07,4.123561643835615
1951-01-08,4.075616438356162
1951-01-09,4.0276712328767115
1951-01-10,3.9797260273972572
1951-01-11,3.9317808219178065
1951-01-12,3.883835616438354
1951-01-13,3.8358904109589034
1951-01-14,3.787945205479451
1951-01-15,3.7399999999999984
1951-01-16,3.6920547945205477
1951-01-17,3.6441095890410953
1951-01-18,3.596164383561643
1951-01-19,3.5482191780821903
1951-01-20,3.500273972602738
1951-01-21,3.4523287671232854
1951-01-22,3.4043835616438347
1951-01-23,3.3564383561643822
1951-01-24,3.3084931506849298
1951-01-25,3.2605479452054773
1951-01-26,3.2126027397260266
1951-01-27,3.164657534246574
1951-01-28,3.1167123287671217
1951-01-29,3.068767123287669
1951-01-30,3.0208219178082185
1951-01-31,2.972876712328766
1951-02-01,2.9249315068493136
1951-02-02,2.876986301369861
1951-02-03,2.8290410958904086
1951-02-04,2.781095890410958
1951-02-05,2.7331506849315055
1951-02-06,2.685205479452053
1951-02-07,2.6372602739726005
1951-02-08,2.58931506849315
1951-02-09,2.5413698630136974
1951-02-10,2.493424657534245
1951-02-11,2.4454794520547924
1951-02-12,2.3975342465753418
1951-02-13,2.3495890410958893
1951-02-14,2.301643835616437
1951-02-15,2.2536986301369843
1951-02-16,2.205753424657532
1951-02-17,2.157808219178081
1951-02-18,2.1098630136986287
1951-02-19,2.0619178082191763
1951-02-20,2.013972602739724
1951-02-21,1.9660273972602722
1951-02-22,1.9180821917808206
1951-02-23,1.8701369863013682
1951-02-24,1.8221917808219166
1951-02-25,1.7742465753424659
1951-02-26,1.7263013698630125
1951-02-27,1.67835616438356
1951-02-28,1.6304109589041094
1951-03-01,1.582465753424656
1951-03-02,1.5345205479452053
1951-03-03,1.4865753424657528
1951-03-04,1.4386301369862995
1951-03-05,1.390684931506848
1951-03-06,1.3427397260273954
1951-03-07,1.2947945205479439
1951-03-08,1.2468493150684914
1951-03-09,1.1989041095890398
1951-03-10,1.1509589041095873
1951-03-11,1.1030136986301358
1951-03-12,1.0550684931506833
1951-03-13,1.0071232876712317
1951-03-14,0.9591780821917792
1951-03-15,0.9112328767123277
1951-03-16,0.8632876712328752
1951-03-17,0.8153424657534227
1951-03-18,0.7673972602739711
1951-03-19,0.7194520547945205
1951-03-20,0.6715068493150671
1951-03-21,0.6235616438356146
1951-03-22,0.575616438356163
1951-03-23,0.5276712328767106
1951-03-24,0.4797260273972599
1951-03-25,0.43178082191780653
1951-03-26,0.38383561643835495
1951-03-27,0.3358904109589025
1951-03-28,0.2879452054794509
1951-03-29,0.23999999999999844
1951-03-30,0.19205479452054686
1951-03-31,0.1441095890410944
1951-04-01,0.14388794828382157
1951-04-02,0.14386605783866013
1951-04-03,0.14403733253048312
1951-04-04,0.1443954734961288
1951-04-05,0.14493445279128103
1951-04-06,0.14564849897988985
1951-04-07,0.14653208363374404
1951-04-08,0.14757990867579718
1951-04-09,0.1487868945064248
1951-04-10,0.15014816885658266
1951-04-11,0.15165905631659005
1951-04-12,0.1533150684931508
1951-04-13,0.15511189475112097
1951-04-14,0.15704539349986746
1951-04-15,0.1591115839872348
1951-04-16,0.16130663856691108
1951-04-17,0.16362687540769727
1951-04-18,0.16606875161540469
1951-04-19,0.16862885674049544
1951-04-20,0.17130390664637307
1951-04-21,0.1740907377152201
1951-04-22,0.17698630136986448
1951-04-23,0.17998765889177104
1951-04-24,0.1830919765166339
1951-04-25,0.18629652079039793
1951-04-26,0.1895986541696697
1951-04-27,0.19299583085169836
1951-04-28,0.19648559282003042
1951-04-29,0.20006556609296489
1951-04-30,0.2037334571627598
1951-05-01,0.20748704961436815
1951-05-02,0.211324200913241
1951-05-03,0.21524283935242927
1951-05-04,0.21924096114978742
1951-05-05,0.2233166276868248
1951-05-06,0.22746796288113202
1951-05-07,0.23169315068493201
1951-05-08,0.23599043270276354
1951-05-09,0.24035810592169327
1951-05-10,0.24479452054794493
1951-05-11,0.24929807794414316
1951-05-12,0.2538672286617487
1951-05-13,0.25850047056363046
1951-05-14,0.26319634703196293
1951-05-15,0.2679534452569765
1951-05-16,0.27277039460233077
1951-05-17,0.27764586504312394
1951-05-18,0.28257856567284456
1951-05-19,0.28756724327567174
1951-05-20,0.2926106809608875
1951-05-21,0.29770769685621357
1951-05-22,0.3028571428571434
1951-05-23,0.308057903429515
1951-05-24,0.31330889446266497
1951-05-25,0.3186090621707063
1951-05-26,0.32395738203957336
1951-05-27,0.32935285781766765
1951-05-28,0.3347945205479457
1951-05-29,0.3402814276395487
1951-05-30,0.3458126619770452
1951-05-31,0.35138733106555087
1951-06-01,0.3570045662100467
1951-06-02,0.3626635217272973
1951-06-03,0.3683633741888963
1951-06-04,0.3741033216939744
1951-06-05,0.3798825831702546
1951-06-06,0.3857003977021636
1951-06-07,0.3915560238847906
1951-06-08,0.3974487392025141
1951-06-09,0.40337783943124883
1951-06-10,0.4093426380632401
1951-06-11,0.4153424657534224
1951-06-12,0.4213766697864365
1951-06-13,0.42744461356333563
1951-06-14,0.4335456761072365
1951-06-15,0.43967925158703824
1951-06-16,0.4458447488584474
1951-06-17,0.45204159102162134
1951-06-18,0.45826921499466966
1951-06-19,0.4645270711024132
1951-06-20,0.47081462267974583
1951-06-21,0.4771313456889583
1951-06-22,0.48347672835055633
1951-06-23,0.4898502707868744
1951-06-24,0.4962514846781243
1951-06-25,0.5026798929302467
1951-06-26,0.5091350293542076
1951-06-27,0.5156164383561634
1951-06-28,0.5221236746381859
1951-06-29,0.5286563029090363
1951-06-30,0.5352138976046525
1951-07-01,0.4845357686453582
1951-07-02,0.43388178309241
1951-07-03,0.3832515429775718
1951-07-04,0.33264465903136653
1951-07-05,0.28206075044669543
1951-07-06,0.2314994446501304
1951-07-07,0.18096037708057278
1951-07-08,0.13044319097502033
1951-07-09,0.07994753716117842
1951-07-10,0.02947307385663578
1951-07-11,-0.02098053352559237
1951-07-12,-0.07141361256544343
1951-07-13,-0.12182648401826501
1951-07-14,-0.17221946199162463
1951-07-15,-0.22259285411664909
1951-07-16,-0.2729469617140854
1951-07-17,-0.3232820799552689
1951-07-18,-0.3735984980182163
1951-07-19,-0.423896499238964
1951-07-20,-0.47417636125834495
1951-07-21,-0.5244383561643842
1951-07-22,-0.5746827506304095
1951-07-23,-0.6249098060490983
1951-07-24,-0.6751197786625269
1951-07-25,-0.725312919688422
1951-07-26,-0.7754894754426989
1951-07-27,-0.825649687458438
1951-07-28,-0.8757937926014137
1951-07-29,-0.9259220231822978
1951-07-30,-0.9760346070656087
1951-07-31,-1.0261317677756017
1951-08-01,-1.0762137245991026
1951-08-02,-1.1262806926854472
1951-08-03,-1.1763328831436093
1951-08-04,-1.226370503136601
1951-08-05,-1.2763937559732375
1951-08-06,-1.3264028411973605
1951-08-07,-1.3763979546745784
1951-08-08,-1.4263792886766362
1951-08-09,-1.4763470319634697
1951-08-10,-1.5263013698630115
1951-08-11,-1.5762424843488496
1951-08-12,-1.626170554115757
1951-08-13,-1.676085754653232
1951-08-14,-1.7259882583170256
1951-08-15,-1.775878234398781
1951-08-16,-1.8257558491938406
1951-08-17,-1.875621266067225
1951-08-18,-1.9254746455179026
1951-08-19,-1.9753161452413694
1951-08-20,-2.025145920190587
1951-08-21,-2.074964122635353
1951-08-22,-2.1247709022201224
1951-08-23,-2.1745664060203396
1951-08-24,-2.224350778597354
1951-08-25,-2.274124162051878
1951-08-26,-2.323886696076154
1951-08-27,-2.3736385180047375
1951-08-28,-2.423379762864048
1951-08-29,-2.4731105634206427
1951-08-30,-2.522831050228309
1951-08-31,-2.57254135167396
1951-09-01,-2.622241594022414
1951-09-02,-2.6719319014600584
1951-09-03,-2.721612396137433
1951-09-04,-2.7712831982107904
1951-09-05,-2.8209444258826117
1951-09-06,-2.870596195441183
1951-09-07,-2.9202386212991587
1951-09-08,-2.9698718160312465
1951-09-09,-3.0194958904109597
1951-09-10,-3.0691109534464873
1951-09-11,-3.118717112415741
1951-09-12,-3.1683144729005353
1951-09-13,-3.2179031388199744
1951-09-14,-3.267483212463067
1951-09-15,-3.3170547945205464
1951-09-16,-3.3666179841159836
1951-09-17,-3.4161728788361474
1951-09-18,-3.4657195747606706
1951-09-19,-3.5152581664910434
1951-09-20,-3.564788747178921
1951-09-21,-3.614311408553801
1951-09-22,-3.6638262409500504
1951-09-23,-3.713333333333333
1951-09-24,-3.762832773326442
1951-09-25,-3.8123246472345236
1951-09-26,-3.8618090400697764
1951-09-27,-3.9112860355755474
1951-09-28,-3.9607557162499365
1951-09-29,-4.010218163368847
1951-09-30,-4.059673457008542
1951-10-01,-4.164549758259469
1951-10-02,-4.269006974760399
1951-10-03,-4.373049695030497
1951-10-04,-4.476682440846824
1951-10-05,-4.579909668453444
1951-10-06,-4.682735769744325
1951-10-07,-4.785165073420715
1951-10-08,-4.887201846123632
1951-10-09,-4.988850293542074
1951-10-10,-5.090114561497588
1951-10-11,-5.190998737005731
1951-10-12,-5.291506849315069
1951-10-13,-5.3916428709241755
1951-10-14,-5.491410718577267
1951-10-15,-5.590814254238912
1951-10-16,-5.689857286048399
1951-10-17,-5.788543569254185
1951-10-18,-5.886876807128976
1951-10-19,-5.984860651865848
1951-10-20,-6.082498705455914
1951-10-21,-6.179794520547945
1951-10-22,-6.276751601290382
1951-10-23,-6.373373404156183
1951-10-24,-6.469663338750872
1951-10-25,-6.56562476860422
1951-10-26,-6.6612610119459434
1951-10-27,-6.7565753424657515
1951-10-28,-6.8515709900581845
1951-10-29,-6.946251141552511
1951-10-30,-7.040618941428116
1951-10-31,-7.134677492515648
1951-11-01,-7.228429856684297
1951-11-02,-7.321879055515501
1951-11-03,-7.415028070963394
1951-11-04,-7.507879846002326
1951-11-05,-7.6004372852617
1951-11-06,-7.692703255648459
1951-11-07,-7.784680586957482
1951-11-08,-7.876372072470171
1951-11-09,-7.967780469541468
1951-11-10,-8.058908500175622
1951-11-11,-8.149758851590878
1951-11-12,-8.240334176773404
1951-11-13,-8.330637095020654
1951-11-14,-8.420670192474422
1951-11-15,-8.510436022643791
1951-11-16,-8.599937106918235
1951-11-17,-8.689175935071066
1951-11-18,-8.778154965753425
1951-11-19,-8.866876626979044
1951-11-20,-8.955343316600015
1951-11-21,-9.043557402773652
1951-11-22,-9.131521224420766
1951-11-23,-9.219237091675446
1951-11-24,-9.30670728632658
1951-11-25,-9.393934062251265
1951-11-26,-9.480919645840292
1951-11-27,-9.56766623641587
1951-11-28,-9.654176006641759
1951-11-29,-9.740451102925958
1951-11-30,-9.826493645816138
1951-12-01,-9.912305730387919
1951-12-02,-9.997889426626195
1951-12-03,-10.083246779799628
1951-12-04,-10.168379810828439
1951-12-05,-10.253290516645663
1951-12-06,-10.337980870551995
1951-12-07,-10.422452822564349
1951-12-08,-10.506708299758257
1951-12-09,-10.590749206604265
1951-12-10,-10.674577425298402
1951-12-11,-10.7581948160869
1951-12-12,-10.841603217585218
1951-12-13,-10.924804447091521
1951-12-14,-11.007800300894765
1951-12-15,-11.090592554577393
1951-12-16,-11.173182963312863
1951-12-17,-11.255573262158023
1951-12-18,-11.337765166340507
1951-12-19,-11.419760371541189
1951-12-20,-11.501560554171853
1951-12-21,-11.583167371648102
1951-12-22,-11.664582462657686
1951-12-23,-11.74580744742427
1951-12-24,-11.82684392796675
1951-12-25,-11.907693488354244
1951-12-26,-11.988357694956758
1951-12-27,-12.06883809669172
1951-12-28,-12.14913622526636
1951-12-29,-12.229253595416077
1951-12-30,-12.309191705138876
1951-12-31,-12.38895203592588
1952-01-01,-12.290474936022878
1952-01-02,-12.192328767123286
1952-01-03,-12.106301369863012
1952-01-04,-12.020273972602737
1952-01-05,-11.934246575342463
1952-01-06,-11.848219178082191
1952-01-07,-11.762191780821917
1952-01-08,-11.676164383561643
1952-01-09,-11.59013698630137
1952-01-10,-11.504109589041093
1952-01-11,-11.41808219178082
1952-01-12,-11.332054794520547
1952-01-13,-11.246027397260274
1952-01-14,-11.16
1952-01-15,-11.073972602739724
1952-01-16,-10.987945205479452
1952-01-17,-10.901917808219178
1952-01-18,-10.815890410958904
1952-01-19,-10.72986301369863
1952-01-20,-10.643835616438356
1952-01-21,-10.557808219178082
1952-01-22,-10.471780821917807
1952-01-23,-10.385753424657533
1952-01-24,-10.29972602739726
1952-01-25,-10.213698630136985
1952-01-26,-10.127671232876713
1952-01-27,-10.041643835616437
1952-01-28,-9.955616438356163
1952-01-29,-9.869589041095889
1952-01-30,-9.783561643835617
1952-01-31,-9.697534246575342
1952-02-01,-9.611506849315068
1952-02-02,-9.525479452054793
1952-02-03,-9.439452054794518
1952-02-04,-9.353424657534246
1952-02-05,-9.267397260273972
1952-02-06,-9.181369863013698
1952-02-07,-9.095342465753422
1952-02-08,-9.00931506849315
1952-02-09,-8.923287671232876
1952-02-10,-8.837260273972602
1952-02-11,-8.751232876712328
1952-02-12,-8.665205479452053
1952-02-13,-8.57917808219178
1952-02-14,-8.493150684931505
1952-02-15,-8.407123287671231
1952-02-16,-8.321095890410957
1952-02-17,-8.235068493150685
1952-02-18,-8.149041095890409
1952-02-19,-8.063013698630135
1952-02-20,-7.976986301369861
1952-02-21,-7.890958904109588
1952-02-22,-7.804931506849314
1952-02-23,-7.718904109589039
1952-02-24,-7.632876712328766
1952-02-25,-7.546849315068494
1952-02-26,-7.460821917808218
1952-02-27,-7.374794520547944
1952-02-28,-7.288767123287672
1952-02-29,-7.283143199341268
1952-03-01,-7.197219851785312
1952-03-02,-7.111296504229359
1952-03-03,-7.025373156673403
1952-03-04,-6.9394498091174475
1952-03-05,-6.8535264615614935
1952-03-06,-6.767603114005538
1952-03-07,-6.681679766449584
1952-03-08,-6.595756418893629
1952-03-09,-6.509833071337674
1952-03-10,-6.423909723781719
1952-03-11,-6.337986376225765
1952-03-12,-6.252063028669809
1952-03-13,-6.166139681113855
1952-03-14,-6.0802163335579005
1952-03-15,-5.994292986001946
1952-03-16,-5.908369638445991
1952-03-17,-5.822446290890036
1952-03-18,-5.736522943334082
1952-03-19,-5.650599595778128
1952-03-20,-5.564676248222172
1952-03-21,-5.478752900666216
1952-03-22,-5.392829553110262
1952-03-23,-5.3069062055543075
1952-03-24,-5.2209828579983535
1952-03-25,-5.135059510442398
1952-03-26,-5.049136162886443
1952-03-27,-4.963212815330488
1952-03-28,-4.877289467774534
1952-03-29,-4.791366120218578
1952-03-30,-4.705442772662624
1952-03-31,-4.619519425106669
1952-04-01,-4.653149936372482
1952-04-02,-4.686780447638296
1952-04-03,-4.720410958904109
1952-04-04,-4.754041470169922
1952-04-05,-4.787671981435735
1952-04-06,-4.821302492701548
1952-04-07,-4.854933003967362
1952-04-08,-4.888563515233175
1952-04-09,-4.922194026498989
1952-04-10,-4.955824537764801
1952-04-11,-4.989455049030615
1952-04-12,-5.023085560296429
1952-04-13,-5.056716071562242
1952-04-14,-5.090346582828055
1952-04-15,-5.123977094093869
1952-04-16,-5.157607605359681
1952-04-17,-5.191238116625496
1952-04-18,-5.2248686278913095
1952-04-19,-5.258499139157123
1952-04-20,-5.292129650422935
1952-04-21,-5.3257601616887476
1952-04-22,-5.359390672954562
1952-04-23,-5.393021184220376
1952-04-24,-5.426651695486189
1952-04-25,-5.460282206752002
1952-04-26,-5.493912718017814
1952-04-27,-5.527543229283628
1952-04-28,-5.561173740549442
1952-04-29,-5.594804251815255
1952-04-30,-5.628434763081068
1952-05-01,-5.662065274346881
1952-05-02,-5.695695785612694
1952-05-03,-5.729326296878509
1952-05-04,-5.762956808144321
1952-05-05,-5.796587319410134
1952-05-06,-5.830217830675947
1952-05-07,-5.86384834194176
1952-05-08,-5.897478853207575
1952-05-09,-5.931109364473388
1952-05-10,-5.964739875739201
1952-05-11,-5.998370387005014
1952-05-12,-6.0320008982708275
1952-05-13,-6.065631409536641
1952-05-14,-6.099261920802455
1952-05-15,-6.132892432068267
1952-05-16,-6.166522943334082
1952-05-17,-6.200153454599894
1952-05-18,-6.233783965865707
1952-05-19,-6.2674144771315214
1952-05-20,-6.301044988397334
1952-05-21,-6.334675499663148
1952-05-22,-6.368306010928961
1952-05-23,-6.401936522194775
1952-05-24,-6.435567033460588
1952-05-25,-6.469197544726401
1952-05-26,-6.5028280559922145
1952-05-27,-6.536458567258029
1952-05-28,-6.570089078523841
1952-05-29,-6.6037195897896535
1952-05-30,-6.6373501010554685
1952-05-31,-6.670980612321281
1952-06-01,-6.704611123587095
1952-06-02,-6.738241634852907
1952-06-03,-6.77187214611872
1952-06-04,-6.805502657384534
1952-06-05,-6.839133168650347
1952-06-06,-6.872763679916159
1952-06-07,-6.906394191181973
1952-06-08,-6.940024702447787
1952-06-09,-6.973655213713601
1952-06-10,-7.007285724979415
1952-06-11,-7.040916236245225
1952-06-12,-7.0745467475110395
1952-06-13,-7.108177258776854
1952-06-14,-7.141807770042668
1952-06-15,-7.175438281308482
1952-06-16,-7.209068792574293
1952-06-17,-7.242699303840106
1952-06-18,-7.27632981510592
1952-06-19,-7.309960326371735
1952-06-20,-7.343590837637548
1952-06-21,-7.377221348903359
1952-06-22,-7.410851860169172
1952-06-23,-7.444482371434987
1952-06-24,-7.478112882700802
1952-06-25,-7.511743393966613
1952-06-26,-7.545373905232426
1952-06-27,-7.57900441649824
1952-06-28,-7.612634927764053
1952-06-29,-7.646265439029868
1952-06-30,-7.67989595029568
1952-07-01,-7.579490231304738
1952-07-02,-7.479084512313796
1952-07-03,-7.3786787933228535
1952-07-04,-7.278273074331911
1952-07-05,-7.177867355340969
1952-07-06,-7.0774616363500265
1952-07-07,-6.977055917359083
1952-07-08,-6.876650198368141
1952-07-09,-6.776244479377198
1952-07-10,-6.675838760386256
1952-07-11,-6.575433041395314
1952-07-12,-6.4750273224043715
1952-07-13,-6.374621603413429
1952-07-14,-6.274215884422486
1952-07-15,-6.1738101654315445
1952-07-16,-6.073404446440601
1952-07-17,-5.972998727449659
1952-07-18,-5.8725930084587175
1952-07-19,-5.772187289467774
1952-07-20,-5.671781570476832
1952-07-21,-5.571375851485889
1952-07-22,-5.470970132494946
1952-07-23,-5.370564413504004
1952-07-24,-5.270158694513062
1952-07-25,-5.16975297552212
1952-07-26,-5.0693472565311755
1952-07-27,-4.968941537540235
1952-07-28,-4.868535818549292
1952-07-29,-4.768130099558348
1952-07-30,-4.667724380567407
1952-07-31,-4.567318661576465
1952-08-01,-4.466912942585522
1952-08-02,-4.36650722359458
1952-08-03,-4.266101504603637
1952-08-04,-4.165695785612694
1952-08-05,-4.065290066621753
1952-08-06,-3.96488434763081
1952-08-07,-3.864478628639867
1952-08-08,-3.7640729096489247
1952-08-09,-3.6636671906579825
1952-08-10,-3.5632614716670408
1952-08-11,-3.462855752676097
1952-08-12,-3.362450033685155
1952-08-13,-3.2620443146942133
1952-08-14,-3.1616385957032698
1952-08-15,-3.061232876712328
1952-08-16,-2.9608271577213854
1952-08-17,-2.8604214387304427
1952-08-18,-2.760015719739501
1952-08-19,-2.659610000748558
1952-08-20,-2.5592042817576166
1952-08-21,-2.458798562766674
1952-08-22,-2.358392843775731
1952-08-23,-2.257987124784789
1952-08-24,-2.157581405793845
1952-08-25,-2.0571756868029034
1952-08-26,-1.9567699678119612
1952-08-27,-1.8563642488210186
1952-08-28,-1.7559585298300768
1952-08-29,-1.6555528108391337
1952-08-30,-1.555147091848192
1952-08-31,-1.454741372857249
1952-09-01,-1.3543356538663067
1952-09-02,-1.253929934875364
1952-09-03,-1.1535242158844228
1952-09-04,-1.0531184968934788
1952-09-05,-0.9527127779025379
1952-09-06,-0.8523070589115944
1952-09-07,-0.7519013399206518
1952-09-08,-0.6514956209297105
1952-09-09,-0.5510899019387665
1952-09-10,-0.4506841829478252
1952-09-11,-0.35027846395688345
1952-09-12,-0.24987274496593992
1952-09-13,-0.1494670259749986
1952-09-14,-0.04906130698405553
1952-09-15,0.051344412006886664
1952-09-16,0.15175013099782886
1952-09-17,0.25215584998877283
1952-09-18,0.352561568979715
1952-09-19,0.4529672879706572
1952-09-20,0.5533730069615994
1952-09-21,0.653778725952542
1952-09-22,0.7541844449434851
1952-09-23,0.8545901639344269
1952-09-24,0.9549958829253704
1952-09-25,1.0554016019163122
1952-09-26,1.1558073209072548
1952-09-27,1.2562130398981979
1952-09-28,1.3566187588891396
1952-09-29,1.4570244778800814
1952-09-30,1.5574301968710245
1952-10-01,1.59772438056741
1952-10-02,1.6380185642637928
1952-10-03,1.678312747960177
1952-10-04,1.718606931656562
1952-10-05,1.7589011153529466
1952-10-06,1.7991952990493303
1952-10-07,1.8394894827457149
1952-10-08,1.879783666442099
1952-10-09,1.9200778501384836
1952-10-10,1.9603720338348682
1952-10-11,2.0006662175312515
1952-10-12,2.040960401227637
1952-10-13,2.0812545849240216
1952-10-14,2.121548768620406
1952-10-15,2.161842952316791
1952-10-16,2.2021371360131745
1952-10-17,2.242431319709559
1952-10-18,2.2827255034059433
1952-10-19,2.3230196871023283
1952-10-20,2.363313870798713
1952-10-21,2.4036080544950966
1952-10-22,2.443902238191482
1952-10-23,2.4841964218878654
1952-10-24,2.5244906055842504
1952-10-25,2.564784789280635
1952-10-26,2.6050789729770187
1952-10-27,2.6453731566734033
1952-10-28,2.685667340369788
1952-10-29,2.725961524066173
1952-10-30,2.766255707762557
1952-10-31,2.8065498914589413
1952-11-01,2.846844075155326
1952-11-02,2.88713825885171
1952-11-03,2.9274324425480946
1952-11-04,2.9677266262444792
1952-11-05,3.008020809940863
1952-11-06,3.048314993637248
1952-11-07,3.0886091773336326
1952-11-08,3.128903361030017
1952-11-09,3.1691975447264022
1952-11-10,3.209491728422786
1952-11-11,3.2497859121191706
1952-11-12,3.290080095815555
1952-11-13,3.3303742795119393
1952-11-14,3.3706684632083244
1952-11-15,3.410962646904708
1952-11-16,3.4512568306010927
1952-11-17,3.4915510142974777
1952-11-18,3.5318451979938614
