Date,SPX Index_ratio_annual
1950-09-07,
1950-09-08,
1950-09-09,
1950-09-10,
1950-09-11,
1950-09-12,
1950-09-13,
1950-09-14,
1950-09-15,
1950-09-16,
1950-09-17,
1950-09-18,
1950-09-19,
1950-09-20,
1950-09-21,
1950-09-22,
1950-09-23,
1950-09-24,
1950-09-25,
1950-09-26,
1950-09-27,
1950-09-28,
1950-09-29,
1950-09-30,
1950-10-01,
1950-10-02,
1950-10-03,
1950-10-04,
1950-10-05,
1950-10-06,
1950-10-07,
1950-10-08,
1950-10-09,
1950-10-10,
1950-10-11,
1950-10-12,
1950-10-13,
1950-10-14,
1950-10-15,
1950-10-16,
1950-10-17,
1950-10-18,
1950-10-19,
1950-10-20,
1950-10-21,
1950-10-22,
1950-10-23,
1950-10-24,
1950-10-25,
1950-10-26,
1950-10-27,
1950-10-28,
1950-10-29,
1950-10-30,
1950-10-31,
1950-11-01,
1950-11-02,
1950-11-03,
1950-11-04,
1950-11-05,
1950-11-06,
1950-11-07,
1950-11-08,
1950-11-09,
1950-11-10,
1950-11-11,
1950-11-12,
1950-11-13,
1950-11-14,
1950-11-15,
1950-11-16,
1950-11-17,
1950-11-18,
1950-11-19,
1950-11-20,
1950-11-21,
1950-11-22,
1950-11-23,
1950-11-24,
1950-11-25,
1950-11-26,
1950-11-27,
1950-11-28,
1950-11-29,
1950-11-30,
1950-12-01,
1950-12-02,
1950-12-03,
1950-12-04,
1950-12-05,
1950-12-06,
1950-12-07,
1950-12-08,
1950-12-09,
1950-12-10,
1950-12-11,
1950-12-12,
1950-12-13,
1950-12-14,
1950-12-15,
1950-12-16,
1950-12-17,
1950-12-18,
1950-12-19,
1950-12-20,
1950-12-21,
1950-12-22,
1950-12-23,
1950-12-24,
1950-12-25,
1950-12-26,
1950-12-27,
1950-12-28,
1950-12-29,
1950-12-30,
1950-12-31,
1951-01-01,
1951-01-02,
1951-01-03,1097.882790636958
1951-01-04,1102.8097548989494
1951-01-05,1100.7260546311172
1951-01-06,1098.6941169039424
1951-01-07,1097.0762916583294
1951-01-08,1096.21206275459
1951-01-09,1095.7976724964378
1951-01-10,1094.8435418934998
1951-01-11,1094.5723630946595
1951-01-12,1094.1369345382282
1951-01-13,1095.8817264998906
1951-01-14,1097.957364026911
1951-01-15,1099.828540862139
1951-01-16,1101.5694195804438
1951-01-17,1102.9808037150879
1951-01-18,1103.7321301237812
1951-01-19,1104.5005141109225
1951-01-20,1105.183123923305
1951-01-21,1105.7621995807533
1951-01-22,1106.3557029423375
1951-01-23,1106.9323253476878
1951-01-24,1107.469677761378
1951-01-25,1108.1863369653959
1951-01-26,1109.228718308419
1951-01-27,1110.3094227941644
1951-01-28,1111.1213645299854
1951-01-29,1111.9267463623503
1951-01-30,1112.7929267049983
1951-01-31,1113.1771311587722
1951-02-01,1113.5027033349797
1951-02-02,1113.8732125601905
1951-02-03,1113.898556090337
1951-02-04,1113.8392064038496
1951-02-05,1113.8279470358402
1951-02-06,1113.8994347900832
1951-02-07,1113.9383713378775
1951-02-08,1114.1706559611189
1951-02-09,1114.4850412524877
1951-02-10,1114.707083541317
1951-02-11,1115.0295186446567
1951-02-12,1115.3748064863437
1951-02-13,1115.7412889660911
1951-02-14,1116.1290782587748
1951-02-15,1116.8235562240093
1951-02-16,1117.503948580528
1951-02-17,1118.3217380660872
1951-02-18,1118.8898949845477
1951-02-19,1119.4676166856266
1951-02-20,1120.0059425497586
1951-02-21,1120.4722814022919
1951-02-22,1121.0040290088637
1951-02-23,1121.5441894968133
1951-02-24,1122.045709516337
1951-02-25,1122.4597232001706
1951-02-26,1122.8856140819237
1951-02-27,1123.3243457719225
1951-02-28,1123.7463530308482
1951-03-01,1124.2628241934242
1951-03-02,1124.7690087303956
1951-03-03,1125.3083126518445
1951-03-04,1125.7798815108292
1951-03-05,1126.2600783649218
1951-03-06,1126.7259883698239
1951-03-07,1127.1639249240059
1951-03-08,1127.7628519960251
1951-03-09,1128.3922444072068
1951-03-10,1129.16334840913
1951-03-11,1129.912114441483
1951-03-12,1130.661761779167
1951-03-13,1131.3721011682571
1951-03-14,1132.0038195069226
1951-03-15,1132.4706419694055
1951-03-16,1132.7345838048686
1951-03-17,1133.0217632809229
1951-03-18,1133.3606620756802
1951-03-19,1133.7081345165132
1951-03-20,1134.051012996088
1951-03-21,1134.4055078519418
1951-03-22,1134.7766256943073
1951-03-23,1135.0704895597516
1951-03-24,1135.3636438314647
1951-03-25,1135.6657437802785
1951-03-26,1135.9764577420463
1951-03-27,1136.2634723353763
1951-03-28,1136.6493657452672
1951-03-29,1136.9359857911484
1951-03-30,1137.3238054494616
1951-03-31,1137.86875844368
1951-04-01,1138.4254266661676
1951-04-02,1138.9844992269682
1951-04-03,1139.5203262276896
1951-04-04,1139.8370349453223
1951-04-05,1140.164468065428
1951-04-06,1140.4748160814765
1951-04-07,1140.6679961979148
1951-04-08,1140.8701063498775
1951-04-09,1141.0808606433036
1951-04-10,1141.293607295089
1951-04-11,1141.4515719659664
1951-04-12,1141.6990992179542
1951-04-13,1141.8289565870225
1951-04-14,1141.9773036938077
1951-04-15,1142.1514054892161
1951-04-16,1142.3346493700674
1951-04-17,1142.518813205344
1951-04-18,1142.7822862758492
1951-04-19,1142.942758168647
1951-04-20,1143.0824432208674
1951-04-21,1143.3230456038689
1951-04-22,1143.5481380118613
1951-04-23,1143.780674434004
1951-04-24,1144.0220333409673
1951-04-25,1144.3529416055976
1951-04-26,1144.6909301793255
1951-04-27,1145.1157704991194
1951-04-28,1145.5086022601483
1951-04-29,1145.8343216160283
1951-04-30,1146.1661979719524
1951-05-01,1146.5104002896899
1951-05-02,1146.6916644603782
1951-05-03,1146.972840182474
1951-05-04,1147.1788294333637
1951-05-05,1147.491022863976
1951-05-06,1147.7406509866182
1951-05-07,1147.9975784902142
1951-05-08,1148.239530747761
1951-05-09,1148.451366590287
1951-05-10,1148.6751445801588
1951-05-11,1148.8720661741054
1951-05-12,1149.0476715915954
1951-05-13,1149.3029681537462
1951-05-14,1149.5641231107334
1951-05-15,1149.8073908406589
1951-05-16,1149.938170043446
1951-05-17,1149.9477408282894
1951-05-18,1149.947871732968
1951-05-19,1149.8673933061273
1951-05-20,1149.7187203915641
1951-05-21,1149.5787275611597
1951-05-22,1149.439372299115
1951-05-23,1149.3424972244607
1951-05-24,1149.1536568915803
1951-05-25,1148.968099187794
1951-05-26,1148.7872948108559
1951-05-27,1148.6263837225672
1951-05-28,1148.4728794337334
1951-05-29,1148.3547651477643
1951-05-30,1148.2356524049887
1951-05-31,1148.1237608729052
1951-06-01,1148.0099411211693
1951-06-02,1147.9030464666944
1951-06-03,1147.7914983875737
1951-06-04,1147.6869924619164
1951-06-05,1147.5519770242447
1951-06-06,1147.5473530303232
1951-06-07,1147.4109279093625
1951-06-08,1147.2654341200848
1951-06-09,1146.9969720724532
1951-06-10,1146.6690055549573
1951-06-11,1146.3498482138177
1951-06-12,1146.0579556909508
1951-06-13,1145.6827132739231
1951-06-14,1145.4041519584891
1951-06-15,1145.3271467362752
1951-06-16,1145.3148892898107
1951-06-17,1145.2867943495944
1951-06-18,1145.2647529058177
1951-06-19,1145.2501968130452
1951-06-20,1145.263691249533
1951-06-21,1145.3137883629688
1951-06-22,1145.2582096047527
1951-06-23,1145.0879794637328
1951-06-24,1144.9346920582332
1951-06-25,1144.7875810064165
1951-06-26,1144.6064140198753
1951-06-27,1144.9688477432219
1951-06-28,1145.4471953736138
1951-06-29,1145.7811235884753
1951-06-30,1146.439732133719
1951-07-01,1146.9689040255935
1951-07-02,1147.4978256869867
1951-07-03,1148.0481009728785
1951-07-04,1148.643580406449
1951-07-05,1149.2386505324394
1951-07-06,1149.8108436517832
1951-07-07,1150.3329618595862
1951-07-08,1150.9758124131272
1951-07-09,1151.6183739179762
1951-07-10,1152.2745377067968
1951-07-11,1152.9546769644955
1951-07-12,1153.7755323741546
1951-07-13,1154.8355116391263
1951-07-14,1156.0092829922937
1951-07-15,1157.091762411118
1951-07-16,1158.171777237739
1951-07-17,1159.2107311474672
1951-07-18,1160.3691462785148
1951-07-19,1161.3340017769378
1951-07-20,1162.1455516504623
1951-07-21,1162.8415621626034
1951-07-22,1163.5468862156574
1951-07-23,1164.251845224097
1951-07-24,1164.9904657272193
1951-07-25,1165.8338095132506
1951-07-26,1166.7769494455442
1951-07-27,1167.723039451732
1951-07-28,1168.5683671297895
1951-07-29,1169.3234342504877
1951-07-30,1170.0784490314088
1951-07-31,1170.8488824902543
1951-08-01,1171.5134507112011
1951-08-02,1172.1113390194985
1951-08-03,1172.790571548359
1951-08-04,1173.4564820724443
1951-08-05,1174.053658914122
1951-08-06,1174.65191820553
1951-08-07,1175.2759825597577
1951-08-08,1175.7802730720418
1951-08-09,1176.2479682440737
1951-08-10,1176.6351810849392
1951-08-11,1177.076031731385
1951-08-12,1177.6094466094091
1951-08-13,1178.1441787263018
1951-08-14,1178.681754173628
1951-08-15,1179.20067208324
1951-08-16,1179.7213207506245
1951-08-17,1180.2467167151276
1951-08-18,1180.695075694566
1951-08-19,1181.083007086839
1951-08-20,1181.4731048407366
1951-08-21,1181.8637971127114
1951-08-22,1182.2323589433418
1951-08-23,1182.5995193016229
1951-08-24,1182.9304708989937
1951-08-25,1183.2738275701454
1951-08-26,1183.728464827149
1951-08-27,1184.1847442719175
1951-08-28,1184.6380243959836
1951-08-29,1185.1049305128013
1951-08-30,1185.5967864144227
1951-08-31,1186.1621635154704
1951-09-01,1186.7392706888872
1951-09-02,1187.261940927121
1951-09-03,1187.7861132233459
1951-09-04,1188.3117684221268
1951-09-05,1188.838887692364
1951-09-06,1189.333857583526
1951-09-07,1189.8974214518307
1951-09-08,1190.4504888743368
1951-09-09,1190.937670412224
1951-09-10,1191.4266220938796
1951-09-11,1191.931147311937
1951-09-12,1192.4774563760388
1951-09-13,1192.9321762076017
1951-09-14,1193.3142432516202
1951-09-15,1193.658268409534
1951-09-16,1193.9593082570857
1951-09-17,1194.2630593895622
1951-09-18,1194.5587550934233
1951-09-19,1194.8196726046997
1951-09-20,1195.1079382168198
1951-09-21,1195.4365983586156
1951-09-22,1195.676455384105
1951-09-23,1195.8905849215444
1951-09-24,1196.1075333745516
1951-09-25,1196.31196743957
1951-09-26,1196.539458950249
1951-09-27,1196.8852797776874
1951-09-28,1197.1050114854406
1951-09-29,1197.3218208188787
1951-09-30,1197.5292523418218
1951-10-01,1197.7393084589817
1951-10-02,1197.9840172862268
1951-10-03,1198.1621241046057
1951-10-04,1198.3779328525388
1951-10-05,1198.4518875207557
1951-10-06,1198.5817374747755
1951-10-07,1198.624617698913
1951-10-08,1198.6711500644674
1951-10-09,1198.7167236162927
1951-10-10,1198.7973453539223
1951-10-11,1198.9605863501797
1951-10-12,1199.1093824280933
1951-10-13,1199.2611346867811
1951-10-14,1199.4196627629601
1951-10-15,1199.5810605636086
1951-10-16,1199.768073444203
1951-10-17,1199.9993042179833
1951-10-18,1200.152189206528
1951-10-19,1200.2591502662483
1951-10-20,1200.3122380331554
1951-10-21,1200.391091303903
1951-10-22,1200.4728257707502
1951-10-23,1200.4710663949197
1951-10-24,1200.4858126775428
1951-10-25,1200.487101042579
1951-10-26,1200.4920303499214
1951-10-27,1200.641615981292
1951-10-28,1200.7336916231857
1951-10-29,1200.8281615232447
1951-10-30,1200.9068635899403
1951-10-31,1201.042651647824
1951-11-01,1201.2523769595125
1951-11-02,1201.4771014770938
1951-11-03,1201.6155023280667
1951-11-04,1201.7120038569974
1951-11-05,1201.8108455720637
1951-11-06,1201.8954107770949
1951-11-07,1202.1610845055707
1951-11-08,1202.3785434712652
1951-11-09,1202.5218364001064
1951-11-10,1202.6257229156395
1951-11-11,1202.6774470569794
1951-11-12,1202.731505506406
1951-11-13,1202.7878739041805
1951-11-14,1202.8273757324432
1951-11-15,1202.9320979194288
1951-11-16,1203.0517513922473
1951-11-17,1203.2061688914346
1951-11-18,1203.312518338588
1951-11-19,1203.4209176942331
1951-11-20,1203.517823281925
1951-11-21,1203.584418227345
1951-11-22,1203.6647961793617
1951-11-23,1203.64832584231
1951-11-24,1203.598232992581
1951-11-25,1203.4942840979425
1951-11-26,1203.3929422598203
1951-11-27,1203.2986785846447
1951-11-28,1203.2903416550894
1951-11-29,1203.4929813804954
1951-11-30,1203.7721890370483
1951-12-01,1204.0353996726205
1951-12-02,1204.247927114599
1951-12-03,1204.461969517623
1951-12-04,1204.6969710266674
1951-12-05,1205.180596833768
1951-12-06,1205.5476582092467
1951-12-07,1205.9080084085383
1951-12-08,1206.292678842689
1951-12-09,1206.6784511608043
1951-12-10,1207.0653151283077
1951-12-11,1207.4592410297487
1951-12-12,1207.7271649847276
1951-12-13,1208.0205984315576
1951-12-14,1208.3217852902822
1951-12-15,1208.7027591765548
1951-12-16,1209.118673983608
1951-12-17,1209.5355349338884
1951-12-18,1209.9593062243573
1951-12-19,1210.2206132472577
1951-12-20,1210.458317553618
1951-12-21,1210.6942496990184
1951-12-22,1210.9194619456755
1951-12-23,1211.116124230992
1951-12-24,1211.3144611840112
1951-12-25,1211.5189291209501
1951-12-26,1211.7250388845991
1951-12-27,1211.9677609522923
1951-12-28,1212.1170548341345
1951-12-29,1212.2476437205835
1951-12-30,1212.363615370581
1951-12-31,1212.4815507622368
1952-01-01,1212.613332777525
1952-01-02,1212.7470357200748
1952-01-03,1212.4799909634212
1952-01-04,1212.228025144677
1952-01-05,1211.9573769421015
1952-01-06,1211.7014331918936
1952-01-07,1211.4547700282767
1952-01-08,1211.2069093269395
1952-01-09,1210.9034360189573
1952-01-10,1210.567136961889
1952-01-11,1210.3283204090026
1952-01-12,1210.0071555715883
1952-01-13,1209.6535176432521
1952-01-14,1209.2842641467648
1952-01-15,1208.942054155188
1952-01-16,1208.5236706370856
1952-01-17,1208.0671208977747
1952-01-18,1207.6230443585496
1952-01-19,1207.2338797492566
1952-01-20,1206.8617661893832
1952-01-21,1206.4954627282414
1952-01-22,1206.1604797032257
1952-01-23,1205.9135626529135
1952-01-24,1205.627010353734
1952-01-25,1205.365479696224
1952-01-26,1205.1236226308959
1952-01-27,1204.8060665061225
1952-01-28,1204.504790509393
1952-01-29,1204.212677800472
1952-01-30,1203.7830840886643
1952-01-31,1203.3170788682219
1952-02-01,1202.8695610306956
1952-02-02,1202.4106503682167
1952-02-03,1201.9229368277806
1952-02-04,1201.4463907934185
1952-02-05,1200.9443021766967
1952-02-06,1200.3646562591325
1952-02-07,1199.8268073711477
1952-02-08,1199.3053851526072
1952-02-09,1198.7681637805329
1952-02-10,1198.2183661396773
1952-02-11,1197.6624065303092
1952-02-12,1197.0884188275488
1952-02-13,1196.5152499410433
1952-02-14,1195.912253841027
1952-02-15,1195.290840716978
1952-02-16,1194.7069124570323
1952-02-17,1194.0706096876622
1952-02-18,1193.4627765468388
1952-02-19,1192.8385290995077
1952-02-20,1192.255148239054
1952-02-21,1191.654894017384
1952-02-22,1191.0383088718386
1952-02-23,1190.4225546367225
1952-02-24,1189.795598996731
1952-02-25,1189.1814338000565
1952-02-26,1188.578122334042
1952-02-27,1187.9610153657463
1952-02-28,1187.4022715947556
1952-02-29,1187.4838283247032
1952-03-01,1186.913917101993
1952-03-02,1186.3325322239318
1952-03-03,1185.7252612610014
1952-03-04,1185.1332332098052
1952-03-05,1184.5974973153168
1952-03-06,1184.1102938341473
1952-03-07,1183.6259336817095
1952-03-08,1183.1044879007939
1952-03-09,1182.5541244338488
1952-03-10,1181.984330037084
1952-03-11,1181.4016737470943
1952-03-12,1180.8226551704383
1952-03-13,1180.337286078006
1952-03-14,1179.9499748858855
1952-03-15,1179.6342616837594
1952-03-16,1179.339993263777
1952-03-17,1178.9448440645679
1952-03-18,1178.5674833160726
1952-03-19,1178.1835161674562
1952-03-20,1177.817555013515
1952-03-21,1177.472510316232
1952-03-22,1177.0983120024935
1952-03-23,1176.713549903268
1952-03-24,1176.330900684382
1952-03-25,1175.9487013256569
1952-03-26,1175.5472814466702
1952-03-27,1175.206105338679
1952-03-28,1174.8843618537437
1952-03-29,1174.677565853835
1952-03-30,1174.4347578647746
1952-03-31,1174.1233604507609
1952-04-01,1173.837284889989
1952-04-02,1173.5249569245998
1952-04-03,1173.2533082093678
1952-04-04,1173.0396794338708
1952-04-05,1172.7730256697275
1952-04-06,1172.4316897426654
1952-04-07,1172.1062375619772
1952-04-08,1171.7504584330532
1952-04-09,1171.4104055644802
1952-04-10,1171.0870243465397
1952-04-11,1170.8081939843137
1952-04-12,1170.516348913337
1952-04-13,1170.1983911035238
1952-04-14,1169.8087534532654
1952-04-15,1169.394072661216
1952-04-16,1168.9382099918719
1952-04-17,1168.488226197946
1952-04-18,1167.9871195188261
1952-04-19,1167.5113818127115
1952-04-20,1167.066489788407
1952-04-21,1166.6026528692464
1952-04-22,1166.170493699022
1952-04-23,1165.7236094004443
1952-04-24,1165.2604097716073
1952-04-25,1164.7968067092477
1952-04-26,1164.345929211077
1952-04-27,1163.8274781359783
1952-04-28,1163.2570277317177
1952-04-29,1162.7047377348606
1952-04-30,1162.1448594598503
1952-05-01,1161.5503461484027
1952-05-02,1160.947797664036
1952-05-03,1160.355217133708
1952-05-04,1159.7324741169293
1952-05-05,1159.0984468780914
1952-05-06,1158.4948935802931
1952-05-07,1157.8934669168464
1952-05-08,1157.3534338743377
1952-05-09,1156.8347650444193
1952-05-10,1156.3051080405062
1952-05-11,1155.817654829582
1952-05-12,1155.3838911997213
1952-05-13,1154.9208995915465
1952-05-14,1154.4625316570625
1952-05-15,1154.0352034894458
1952-05-16,1153.7336467565135
1952-05-17,1153.4759036838286
1952-05-18,1153.1663316965617
1952-05-19,1152.9808591864198
1952-05-20,1152.8212405293914
1952-05-21,1152.679445400055
1952-05-22,1152.5578738384743
1952-05-23,1152.470830955306
1952-05-24,1152.4570549133346
1952-05-25,1152.4723847347846
1952-05-26,1152.49356459027
1952-05-27,1152.5183841794942
1952-05-28,1152.5350378696955
1952-05-29,1152.4935609444929
1952-05-30,1152.4217069960773
1952-05-31,1152.349904471771
1952-06-01,1152.237855657925
1952-06-02,1152.1360130957646
1952-06-03,1152.0292447135976
1952-06-04,1151.9198445995728
1952-06-05,1151.903600091119
1952-06-06,1151.8517021567368
1952-06-07,1151.8215174801926
1952-06-08,1151.7758424862095
1952-06-09,1151.783404709335
1952-06-10,1151.824575251214
1952-06-11,1151.8467967765282
1952-06-12,1151.8448703769398
1952-06-13,1151.8909900975634
1952-06-14,1151.9130559603059
1952-06-15,1151.8086368146342
1952-06-16,1151.6383516264111
1952-06-17,1151.4649974367
1952-06-18,1151.295831969084
1952-06-19,1151.1373806385984
1952-06-20,1150.990770208415
1952-06-21,1150.872975591345
1952-06-22,1150.8193756243104
1952-06-23,1150.857323729079
1952-06-24,1150.8881068584499
1952-06-25,1150.924249073418
1952-06-26,1151.0437289372387
1952-06-27,1151.0125675210809
1952-06-28,1150.9409203880684
1952-06-29,1150.9784147020607
1952-06-30,1150.9525752617772
1952-07-01,1150.9829010846538
1952-07-02,1151.0346534060252
1952-07-03,1151.0378991667224
1952-07-04,1150.9945580090875
1952-07-05,1150.9512586312785
1952-07-06,1150.8160680808403
1952-07-07,1150.6964496221433
1952-07-08,1150.5292393879354
1952-07-09,1150.3608708958468
1952-07-10,1150.1534469618243
1952-07-11,1149.9559999267492
1952-07-12,1149.725561185407
1952-07-13,1149.3918136310363
1952-07-14,1148.9792738039582
1952-07-15,1148.6015689551382
1952-07-16,1148.2416725548521
1952-07-17,1147.953756394081
1952-07-18,1147.5682629899402
1952-07-19,1147.2262080216894
1952-07-20,1146.941779692225
1952-07-21,1146.6844052537472
1952-07-22,1146.4375290973285
1952-07-23,1146.1975571503037
1952-07-24,1145.909831553838
1952-07-25,1145.5262822999164
1952-07-26,1145.1287908947327
1952-07-27,1144.6953379245733
1952-07-28,1144.2803123820477
1952-07-29,1143.8998699993447
1952-07-30,1143.5278257460434
1952-07-31,1143.1424706505034
1952-08-01,1142.8491992938734
1952-08-02,1142.5589391803896
1952-08-03,1142.1710030889453
1952-08-04,1141.7811266529473
1952-08-05,1141.4116737662584
1952-08-06,1141.0466173683822
1952-08-07,1140.6343886000752
1952-08-08,1140.268031972537
1952-08-09,1139.9416219447517
1952-08-10,1139.6633000213826
1952-08-11,1139.379868188839
1952-08-12,1139.0629489654907
1952-08-13,1138.718949916483
1952-08-14,1138.3686395892416
1952-08-15,1138.048193698508
1952-08-16,1137.6969982361916
1952-08-17,1137.3268540538863
1952-08-18,1136.9673431478036
1952-08-19,1136.59516016421
1952-08-20,1136.2168807328062
1952-08-21,1135.8496136813392
1952-08-22,1135.5174337410679
1952-08-23,1135.2061898776392
1952-08-24,1134.8743081403127
1952-08-25,1134.543898892449
1952-08-26,1134.1613647816039
1952-08-27,1133.774074020767
1952-08-28,1133.4097900058823
1952-08-29,1133.034490175946
1952-08-30,1132.619075397436
1952-08-31,1132.1437762306468
1952-09-01,1131.6565590133168
1952-09-02,1131.1890139477703
1952-09-03,1130.7375421287934
1952-09-04,1130.2995322200995
1952-09-05,1129.8607682287902
1952-09-06,1129.399162143076
1952-09-07,1128.903965027966
1952-09-08,1128.4002152553905
1952-09-09,1127.9075261008297
1952-09-10,1127.3832919918925
1952-09-11,1126.8132155488427
1952-09-12,1126.2602202516607
1952-09-13,1125.71698486299
1952-09-14,1125.1762205698417
1952-09-15,1124.654568488609
1952-09-16,1124.116092263342
1952-09-17,1123.5884705148462
1952-09-18,1123.0868954847283
1952-09-19,1122.5966014114333
1952-09-20,1122.1058775362942
1952-09-21,1121.6067496881456
1952-09-22,1121.1772763589852
1952-09-23,1120.7608421328814
1952-09-24,1120.3588655128062
1952-09-25,1119.9958497436699
1952-09-26,1119.6112330937076
1952-09-27,1119.1713717096065
1952-09-28,1118.8056810428145
1952-09-29,1118.444478193673
1952-09-30,1118.0815472930994
1952-10-01,1117.7011678858753
1952-10-02,1117.2569439823806
1952-10-03,1116.8066195334693
1952-10-04,1116.30958489447
1952-10-05,1115.8801665830865
1952-10-06,1115.419428043728
1952-10-07,1114.9841376009767
1952-10-08,1114.5441834532287
1952-10-09,1114.13548083056
1952-10-10,1113.7357209871789
1952-10-11,1113.3134348860524
1952-10-12,1112.878764993795
1952-10-13,1112.444518255364
1952-10-14,1112.009285171329
1952-10-15,1111.5656362472268
1952-10-16,1111.0293760483987
1952-10-17,1110.4763983171788
1952-10-18,1110.0071347516757
1952-10-19,1109.5604750614716
1952-10-20,1109.2087672239309
1952-10-21,1108.8401354368211
1952-10-22,1108.4642634262943
1952-10-23,1108.2061594738325
1952-10-24,1107.9331436075101
1952-10-25,1107.6467771667442
1952-10-26,1107.3750056254582
1952-10-27,1107.081829461308
1952-10-28,1106.8187286090028
1952-10-29,1106.5608512302158
1952-10-30,1106.3374493645392
1952-10-31,1106.0998857550405
1952-11-01,1105.8237293111922
1952-11-02,1105.5096893333161
1952-11-03,1105.264441045407
1952-11-04,1105.0460636852165
1952-11-05,1104.8278552072757
1952-11-06,1104.6475919676714
1952-11-07,1104.412084854814
1952-11-08,1104.2649900127224
1952-11-09,1104.1509583929737
1952-11-10,1103.9951045987998
1952-11-11,1103.8588567789488
1952-11-12,1103.7227048363022
1952-11-13,1103.571669431328
1952-11-14,1103.4273778862218
1952-11-15,1103.251712547051
1952-11-16,1103.073287873961
1952-11-17,1102.8864632767556
1952-11-18,1102.7253006444175
1952-11-19,1102.60909492811
1952-11-20,1102.5377340678249
1952-11-21,1102.4829352572194
1952-11-22,1102.430531232754
1952-11-23,1102.4166605277157
1952-11-24,1102.4656305730596
1952-11-25,1102.5552096184683
1952-11-26,1102.6372853377923
1952-11-27,1102.7313492501648
1952-11-28,1102.7459730007606
1952-11-29,1102.7059191964993
1952-11-30,1102.6241417529404
1952-12-01,1102.506777867015
