Date,PITLCHNG Index_ratio_annual
1950-09-06,
1950-09-07,
1950-09-08,
1950-09-09,
1950-09-10,
1950-09-11,
1950-09-12,
1950-09-13,
1950-09-14,
1950-09-15,
1950-09-16,
1950-09-17,
1950-09-18,
1950-09-19,
1950-09-20,
1950-09-21,
1950-09-22,
1950-09-23,
1950-09-24,
1950-09-25,
1950-09-26,
1950-09-27,
1950-09-28,
1950-09-29,
1950-09-30,
1950-10-01,
1950-10-02,
1950-10-03,
1950-10-04,
1950-10-05,
1950-10-06,
1950-10-07,
1950-10-08,
1950-10-09,
1950-10-10,
1950-10-11,
1950-10-12,
1950-10-13,
1950-10-14,
1950-10-15,
1950-10-16,
1950-10-17,
1950-10-18,
1950-10-19,
1950-10-20,
1950-10-21,
1950-10-22,
1950-10-23,
1950-10-24,
1950-10-25,
1950-10-26,
1950-10-27,
1950-10-28,
1950-10-29,
1950-10-30,
1950-10-31,
1950-11-01,
1950-11-02,
1950-11-03,
1950-11-04,
1950-11-05,
1950-11-06,
1950-11-07,
1950-11-08,
1950-11-09,
1950-11-10,
1950-11-11,
1950-11-12,
1950-11-13,
1950-11-14,
1950-11-15,
1950-11-16,
1950-11-17,
1950-11-18,
1950-11-19,
1950-11-20,
1950-11-21,
1950-11-22,
1950-11-23,
1950-11-24,
1950-11-25,
1950-11-26,
1950-11-27,
1950-11-28,
1950-11-29,
1950-11-30,
1950-12-01,
1950-12-02,
1950-12-03,
1950-12-04,
1950-12-05,
1950-12-06,
1950-12-07,
1950-12-08,
1950-12-09,
1950-12-10,
1950-12-11,
1950-12-12,
1950-12-13,
1950-12-14,
1950-12-15,
1950-12-16,
1950-12-17,
1950-12-18,
1950-12-19,
1950-12-20,
1950-12-21,
1950-12-22,
1950-12-23,
1950-12-24,
1950-12-25,
1950-12-26,
1950-12-27,
1950-12-28,
1950-12-29,
1950-12-30,
1950-12-31,
1951-01-01,
1951-01-02,
1951-01-03,1895.8904109589037
1951-01-04,1903.6529680365297
1951-01-05,1911.4155251141556
1951-01-06,1919.1780821917807
1951-01-07,1926.9406392694063
1951-01-08,1934.7031963470317
1951-01-09,1942.4657534246574
1951-01-10,1950.228310502283
1951-01-11,1957.9908675799084
1951-01-12,1965.7534246575347
1951-01-13,1973.5159817351598
1951-01-14,1981.2785388127854
1951-01-15,1989.0410958904113
1951-01-16,1996.8036529680369
1951-01-17,2004.5662100456625
1951-01-18,2012.328767123288
1951-01-19,2020.0913242009135
1951-01-20,2027.8538812785391
1951-01-21,2035.6164383561645
1951-01-22,2043.3789954337908
1951-01-23,2051.1415525114166
1951-01-24,2058.904109589042
1951-01-25,2066.666666666667
1951-01-26,2074.429223744293
1951-01-27,2082.191780821918
1951-01-28,2089.954337899544
1951-01-29,2097.7168949771694
1951-01-30,2105.4794520547953
1951-01-31,2113.2420091324198
1951-02-01,1764.0506977339649
1951-02-02,1524.0858591306223
1951-02-03,1348.765259528469
1951-02-04,1214.8634238372572
1951-02-05,1109.0909090909092
1951-02-06,1023.2942889285954
1951-02-07,952.1935912135659
1951-02-08,892.2189562420278
1951-02-09,840.8701451952185
1951-02-10,796.3438499355641
1951-02-11,757.3066797554771
1951-02-12,722.7514557412761
1951-02-13,691.9032016106748
1951-02-14,664.1558732410138
1951-02-15,639.0287069484267
1951-02-16,616.1354380532463
1951-02-17,595.1621699656733
1951-02-18,575.8511844564983
1951-02-19,557.9889120295678
1951-02-20,541.3968664735171
1951-02-21,525.9247250817326
1951-02-22,511.44498453380476
1951-02-23,497.8487891613033
1951-02-24,485.0426421202678
1951-02-25,472.9457888964085
1951-02-26,461.48811807451875
1951-02-27,450.60846387450584
1951-02-28,440.25322351845193
1951-03-01,442.8176448410204
1951-03-02,445.3153171823513
1951-03-03,447.7483389385612
1951-03-04,450.1187214611872
1951-03-05,452.42839352428376
1951-03-06,454.6792055192157
1951-03-07,456.8729333963155
1951-03-08,459.01128237105155
1951-03-09,461.0958904109589
1951-03-10,463.12833151831256
1951-03-11,465.11011882237176
1951-03-12,467.0427074939563
1951-03-13,468.92749749415276
1951-03-14,470.7658361680609
1951-03-15,472.5590206936753
1951-03-16,474.3083003952568
1951-03-17,476.01487892986154
1951-03-18,477.6799163550656
1951-03-19,479.304531085353
1951-03-20,480.8898017440948
1951-03-21,482.4367689175666
1951-03-22,483.9464368169924
1951-03-23,485.4197748541977
1951-03-24,486.85771913606186
1951-03-25,488.2611738826118
1951-03-26,489.63101277327024
1951-03-27,490.9680802254702
1951-03-28,492.27319260956455
1951-03-29,493.5471394037066
1951-03-30,494.7906842921307
1951-03-31,496.00456621004577
1951-04-01,493.24143542242007
1951-04-02,490.5097990764621
1951-04-03,487.8084478697372
1951-04-04,485.1362336293842
1951-04-05,482.49206549773663
1951-04-06,479.8749064000351
1951-04-07,477.2837697701906
1951-04-08,474.7177165128677
1951-04-09,472.1758521822236
1951-04-10,469.6573243594946
1951-04-11,467.1613202132587
1951-04-12,464.68706422770885
1951-04-13,462.23381608558435
1951-04-14,459.80086869361827
1951-04-15,457.3875463394325
1951-04-16,454.99320296977925
1951-04-17,452.61722058091505
1951-04-18,450.2590077126741
1951-04-19,447.91799803853326
1951-04-20,445.59364904460193
1951-04-21,443.2854407910632
1951-04-22,440.9928747501255
1951-04-23,438.71547271502345
1951-04-24,436.452775775054
1951-04-25,434.20434335203043
1951-04-26,431.96975229390216
1951-04-27,429.7485960216238
1951-04-28,427.5404837256578
1951-04-29,425.3450396087739
1951-04-30,423.16190217206565
1951-05-01,434.9752258816671
1951-05-02,447.07347447073477
1951-05-03,459.46427013349614
1951-05-04,472.1555093847942
1951-05-05,485.1553755130323
1951-05-06,498.47235171770774
1951-05-07,512.1152349758419
1951-05-08,526.0931506849315
1951-05-09,540.4155681336308
1951-05-10,555.0923168552711
1951-05-11,570.1336039235582
1951-05-12,585.5500322543924
1951-05-13,601.3526199827569
1951-05-14,617.5528209890875
1951-05-15,634.1625466554628
1951-05-16,651.1941889384548
1951-05-17,668.6606448525451
1951-05-18,686.5753424657536
1951-05-19,704.9522685175762
1951-05-20,723.8059977786006
1951-05-21,743.1517242812895
1951-05-22,763.0052945625682
1951-05-23,783.3832430710418
1951-05-24,804.3028299050975
1951-05-25,825.7820810628922
1951-05-26,847.8398314014753
1951-05-27,870.4957705201927
1951-05-28,893.7704918032788
1951-05-29,917.6855448783481
1951-05-30,942.263491771628
1951-05-31,967.5279670674701
1951-06-01,973.8494776864878
1951-06-02,980.169086422809
1951-06-03,986.4867997125837
1951-06-04,992.8026239629555
1951-06-05,999.1165655522235
1951-06-06,1005.4286308300029
1951-06-07,1011.738826117388
1951-06-08,1018.0471577071119
1951-06-09,1024.3536318637043
1951-06-10,1030.6582548236502
1951-06-11,1036.9610327955465
1951-06-12,1043.2619719602578
1951-06-13,1049.5610784710707
1951-06-14,1055.8583584538478
1951-06-15,1062.1538180071807
1951-06-16,1068.4474632025403
1951-06-17,1074.739300084428
1951-06-18,1081.0293346705264
1951-06-19,1087.3175729518462
1951-06-20,1093.6040208928746
1951-06-21,1099.8886844317226
1951-06-22,1106.171569480269
1951-06-23,1112.4526819243063
1951-06-24,1118.7320276236842
1951-06-25,1125.0096124124516
1951-06-26,1131.2854420990004
1951-06-27,1137.559522466205
1951-06-28,1143.8318592715605
1951-06-29,1150.102458247326
1951-06-30,1156.3713251006589
1951-07-01,1160.1962074534904
1951-07-02,1164.0062341071284
1951-07-03,1167.8015260363213
1951-07-04,1171.58220290586
1951-07-05,1175.3483830882572
1951-07-06,1179.1001836811472
1951-07-07,1182.837720524403
1951-07-08,1186.561108216977
1951-07-09,1190.2704601334735
1951-07-10,1193.965888440458
1951-07-11,1197.6475041125007
1951-07-12,1201.3154169479712
1951-07-13,1204.9697355845815
1951-07-14,1208.6105675146773
1951-07-15,1212.2380191002983
1951-07-16,1215.8521955879926
1951-07-17,1219.4532011234026
1951-07-18,1223.0411387656227
1951-07-19,1226.616110501333
1951-07-20,1230.1782172587102
1951-07-21,1233.727558921127
1951-07-22,1237.2642343406346
1951-07-23,1240.788341351241
1951-07-24,1244.2999767819829
1951-07-25,1247.7992364697961
1951-07-26,1251.2862152721877
1951-07-27,1254.7610070797202
1951-07-28,1258.2237048282975
1951-07-29,1261.6744005112673
1951-07-30,1265.1131851913444
1951-07-31,1268.540149012344
1951-08-01,1256.4115202672635
1951-08-02,1244.454089244541
1951-08-03,1232.663070132418
1951-08-04,1221.0338538546537
1951-08-05,1209.5619999868093
1951-08-06,1198.2432291122032
1951-08-07,1187.0734155898833
1951-08-08,1176.0485807089397
1951-08-09,1165.164886205295
1951-08-10,1154.418628118772
1951-08-11,1143.806230969783
1951-08-12,1133.3242422364099
1951-08-13,1122.9693271139463
1951-08-14,1112.7382635401939
1951-08-15,1102.6279374709202
1951-08-16,1092.6353383909204
1951-08-17,1082.7575550470983
1951-08-18,1072.9917713908471
1951-08-19,1063.33526271786
1951-08-20,1053.785391994247
1951-08-21,1044.339606358558
1951-08-22,1034.9954337899546
1951-08-23,1025.7504799334042
1951-08-24,1016.6024250733255
1951-08-25,1007.5490212476515
1951-08-26,998.5880894947665
1951-08-27,989.7175172262332
1951-08-28,980.9352557186608
1951-08-29,972.2393177184456
1951-08-30,963.6277751535192
1951-08-31,955.0987569465536
1951-09-01,950.2343047548528
1951-09-02,945.4260016696685
1951-09-03,940.6726298450827
1951-09-04,935.9730064016646
1951-09-05,931.3259821804768
1951-09-06,926.730440549986
1951-09-07,922.185296263273
1951-09-08,917.6894943630867
1951-09-09,913.2420091324201
1951-09-10,908.8418430884184
1951-09-11,904.488026017542
1951-09-12,900.1796140500276
1951-09-13,895.91568877179
1951-09-14,891.6953563720117
1951-09-15,887.5177468247572
1951-09-16,883.3820131030375
1951-09-17,879.2873304238339
1951-09-18,875.2328955226689
1951-09-19,871.2179259563811
1951-09-20,867.2416594328366
1951-09-21,863.3033531663667
1951-09-22,859.40228325779
1951-09-23,855.5377440979305
1951-09-24,851.7090477936019
1951-09-25,847.9155236150712
1951-09-26,844.1565174640774
1951-09-27,840.4313913615123
1951-09-28,836.7395229539243
1951-09-29,833.080305038042
1951-09-30,829.4531451025541
1951-10-01,828.479234616221
1951-10-02,827.4987316083206
1951-10-03,826.5116922651168
1951-10-04,825.5181721362013
1951-10-05,824.5182261434871
1951-10-06,823.5119085900486
1951-10-07,822.4992731688129
1951-10-08,821.480372971106
1951-10-09,820.4552604950552
1951-10-10,819.4239876538497
1951-10-11,818.386605783866
1951-10-12,817.3431656526559
1951-10-13,816.2937174668045
1951-10-14,815.2383108796557
1951-10-15,814.1769949989127
1951-10-16,813.1098183941117
1951-10-17,812.0368291039748
1951-10-18,810.9580746436405
1951-10-19,809.8736020117794
1951-10-20,808.7834576975905
1951-10-21,807.6876876876877
1951-10-22,806.5863374728713
1951-10-23,805.4794520547944
1951-10-24,804.3670759525179
1951-10-25,803.2492532089631
1951-10-26,802.1260273972603
1951-10-27,800.9974416269957
1951-10-28,799.8635385503593
1951-10-29,798.7243603681959
1951-10-30,797.5799488359577
1951-10-31,796.4303452695666
1951-11-01,795.5580206616679
1951-11-02,794.6890975441053
1951-11-03,793.8235375652953
1951-11-04,792.9613029480461
1951-11-05,792.1023564788429
1951-11-06,791.2466614973722
1951-11-07,790.394181886283
1951-11-08,789.5448820611697
1951-11-09,788.6987269607783
1951-11-10,787.8556820374303
1951-11-11,787.0157132476479
1951-11-12,786.178787042996
1951-11-13,785.3448703611109
1951-11-14,784.5139306169326
1951-11-15,783.6859356941209
1951-11-16,782.860853936657
1951-11-17,782.0386541406282
1951-11-18,781.2193055461831
1951-11-19,780.4027778296618
1951-11-20,779.5890410958905
1951-11-21,778.77806587064
1951-11-22,777.9698230932438
1951-11-23,777.1642841093682
1951-11-24,776.3614206639357
1951-11-25,775.5612048941967
1951-11-26,774.763609322942
1951-11-27,773.9686068518577
1951-11-28,773.1761707550174
1951-11-29,772.3862746725063
1951-11-30,771.5988926041776
1951-12-01,770.665777098645
1951-12-02,769.7284608007327
1951-12-03,768.7869732703559
1951-12-04,767.8413437907377
1951-12-05,766.8916013716396
1951-12-06,765.9377747525454
1951-12-07,764.9798924058017
1951-12-08,764.0179825397161
1951-12-09,763.0520731016076
1951-12-10,762.0821917808216
1951-12-11,761.1083660116974
1951-12-12,760.1306229764973
1951-12-13,759.1489896082965
1951-12-14,758.1634925938298
1951-12-15,757.1741583763041
1951-12-16,756.181013158168
1951-12-17,755.1840829038466
1951-12-18,754.1833933424381
1951-12-19,753.1789699703727
1951-12-20,752.170838054039
1951-12-21,751.1590226323702
1951-12-22,750.1435485193994
1951-12-23,749.1244403067783
1951-12-24,748.101722366263
1951-12-25,747.0754188521666
1951-12-26,746.0455537037786
1951-12-27,745.0121506477527
1951-12-28,743.975233200461
1951-12-29,742.9348246703208
1951-12-30,741.8909481600858
1951-12-31,740.8436265691109
1952-01-01,734.1213154949094
1952-01-02,727.4486094316807
1952-01-03,719.8940269749519
1952-01-04,712.4010554089708
1952-01-05,704.9689440993787
1952-01-06,697.5969545562692
1952-01-07,690.2843601895735
1952-01-08,683.0304460703328
1952-01-09,675.8345086976964
1952-01-10,668.695855771482
1952-01-11,661.6138059701492
1952-01-12,654.58768873403
1952-01-13,647.6168440536788
1952-01-14,640.7006222631943
1952-01-15,633.8383838383838
1952-01-16,627.0294991996341
1952-01-17,620.2733485193622
1952-01-18,613.5693215339232
1952-01-19,606.9168173598554
1952-01-20,600.3152443143434
1952-01-21,593.7640197397936
1952-01-22,587.262569832402
1952-01-23,580.8103294746214
1952-01-24,574.4067420714126
1952-01-25,568.05125939019
1952-01-26,561.7433414043583
1952-01-27,555.4824561403508
1952-01-28,549.2680795280751
1952-01-29,543.09969525468
1952-01-30,536.9767946215569
1952-01-31,530.8988764044943
1952-02-01,532.3318092749836
1952-02-02,533.7867485739358
1952-02-03,535.2642051735573
1952-02-04,536.7647058823528
1952-02-05,538.2887940714126
1952-02-06,539.8370303304662
1952-02-07,541.4099931553728
1952-02-08,543.0082796688131
1952-02-09,544.6325063760723
1952-02-10,546.2833099579242
1952-02-11,547.9613481027574
1952-02-12,549.667300380228
1952-02-13,551.4018691588784
1952-02-14,553.1657805703238
1952-02-15,554.9597855227881
1952-02-16,556.7846607669616
1952-02-17,558.6412100173567
1952-02-18,560.5302651325662
1952-02-19,562.4526873580621
1952-02-20,564.4093686354378
1952-02-21,566.4012329822759
1952-02-22,568.4292379471228
1952-02-23,570.4943761443892
1952-02-24,572.5976768743399
1952-02-25,574.7402078337328
1952-02-26,576.9230769230768
1952-02-27,579.147434156937
1952-02-28,581.4144736842103
1952-02-29,577.9122926852649
1952-03-01,579.4823360093549
1952-03-02,581.0549658957577
1952-03-03,582.6301887415776
1952-03-04,584.2080109650308
1952-03-05,585.7884390055336
1952-03-06,587.3714793237892
1952-03-07,588.9571384018766
1952-03-08,590.5454227433381
1952-03-09,592.1363388732694
1952-03-10,593.729893338408
1952-03-11,595.3260927072232
1952-03-12,596.9249435700063
1952-03-13,598.5264525389621
1952-03-14,600.1306262482989
1952-03-15,601.7374713543206
1952-03-16,603.3469945355191
1952-03-17,604.959202492666
1952-03-18,606.5741019489069
1952-03-19,608.1916996498531
1952-03-20,609.8120023636772
1952-03-21,611.4350168812065
1952-03-22,613.060750016018
1952-03-23,614.6892086045342
1952-03-24,616.3203995061184
1952-03-25,617.9543296031711
1952-03-26,619.5910058012275
1952-03-27,621.2304350290534
1952-03-28,622.8726242387444
1952-03-29,624.5175804058231
1952-03-30,626.1653105293389
1952-03-31,627.8158216319661
1952-04-01,627.8676182453802
1952-04-02,627.9197964717013
1952-04-03,627.972360543837
1952-04-04,628.0253147575303
1952-04-05,628.0786634725289
1952-04-06,628.1324111137828
1952-04-07,628.1865621726675
1952-04-08,628.2411212082344
1952-04-09,628.296092848492
1952-04-10,628.3514817917116
1952-04-11,628.4072928077696
1952-04-12,628.4635307395138
1952-04-13,628.5202005041652
1952-04-14,628.577307094753
1952-04-15,628.634855581577
1952-04-16,628.6928511137125
1952-04-17,628.7512989205438
1952-04-18,628.8102043133365
1952-04-19,628.8695726868465
1952-04-20,628.9294095209665
1952-04-21,628.9897203824137
1952-04-22,629.0505109264544
1952-04-23,629.1117868986722
1952-04-24,629.173554136779
1952-04-25,629.2358185724678
1952-04-26,629.2985862333131
1952-04-27,629.3618632447146
1952-04-28,629.4256558318906
1952-04-29,629.4899703219195
1952-04-30,629.5548131458318
1952-05-01,618.692693862626
1952-05-02,608.0524563103677
1952-05-03,597.6273706203793
1952-05-04,587.4109763636754
1952-05-05,577.3970692003479
1952-05-06,567.5796883149802
1952-05-07,557.9531045846285
1952-05-08,548.5118094300142
1952-05-09,539.250504304344
1952-05-10,530.1640907776136
1952-05-11,521.2476611774036
1952-05-12,512.4964897500702
1952-05-13,503.90602430888157
1952-05-14,495.47187833808675
1952-05-15,487.18982352414224
1952-05-16,479.0557826873763
1952-05-17,471.0658230892649
1952-05-18,463.2161500922376
1952-05-19,455.50310115053827
1952-05-20,447.92314011214677
1952-05-21,440.47285181313674
1952-05-22,433.14893694710923
1952-05-23,425.9482071935072
1952-05-24,418.8675805896998
1952-05-25,411.9040771327225
1952-05-26,405.0548145974852
1952-05-27,398.31700455912306
1952-05-28,391.68794860795384
1952-05-29,385.16503474625017
1952-05-30,378.74573395671814
1952-05-31,372.42759693321005
1952-06-01,373.26171630584406
1952-06-02,374.09424536508874
1952-06-03,374.92518865469685
1952-06-04,375.7545507011278
1952-06-05,376.58233601363
1952-06-06,377.4085490843232
1952-06-07,378.23319438827883
1952-06-08,379.0562763836014
1952-06-09,379.8777995115085
1952-06-10,380.6977681964112
1952-06-11,381.51618684599254
1952-06-12,382.3330598512877
1952-06-13,383.14839158676153
1952-06-14,383.96218641038723
1952-06-15,384.7744486637235
1952-06-16,385.58518267199224
1952-06-17,386.3943927441555
1952-06-18,387.20208317299057
1952-06-19,388.0082582351674
1952-06-20,388.81292219132337
1952-06-21,389.61607928613813
1952-06-22,390.41773374840886
1952-06-23,391.2178897911239
1952-06-24,392.01655161153707
1952-06-25,392.8137233912405
1952-06-26,393.609409296238
1952-06-27,394.4036134770176
1952-06-28,395.1963400686237
1952-06-29,395.9875931907286
1952-06-30,396.7773769477044
1952-07-01,396.361872884257
1952-07-02,395.9467542605716
1952-07-03,395.5320205405708
1952-07-04,395.1176711891703
1952-07-05,394.703705672278
1952-07-06,394.2901234567901
1952-07-07,393.8769240105901
1952-07-08,393.46410680254576
1952-07-09,393.051671302507
1952-07-10,392.6396169813037
1952-07-11,392.2279433107435
1952-07-12,391.8166497636095
1952-07-13,391.40573581365794
1952-07-14,390.99520093561597
1952-07-15,390.5850446051794
1952-07-16,390.17526629901033
1952-07-17,389.76586549473564
1952-07-18,389.35684167094377
1952-07-19,388.9481943071828
1952-07-20,388.539922883959
1952-07-21,388.1320268827335
1952-07-22,387.7245057859208
1952-07-23,387.3173590768868
1952-07-24,386.9105862399455
1952-07-25,386.5041867603578
1952-07-26,386.0981601243295
1952-07-27,385.6925058190082
1952-07-28,385.28722333248186
1952-07-29,384.8823121537765
1952-07-30,384.47777177285377
1952-07-31,384.0736016806093
1952-08-01,385.46955709936464
1952-08-02,386.8790592204278
1952-08-03,388.3023061961657
1952-08-04,389.7395000624731
1952-08-05,391.19084683438086
1952-08-06,392.65655660450244
1952-08-07,394.1368436444193
1952-08-08,395.6319265091044
1952-08-09,397.1420281444944
1952-08-10,398.6673759983187
1952-08-11,400.208202134303
1952-08-12,401.7647433498675
1952-08-13,403.33724129744417
1952-08-14,404.92594260954445
1952-08-15,406.53109902771325
1952-08-16,408.15296753551104
1952-08-17,409.7918104956706
1952-08-18,411.4478957915833
1952-08-19,413.1214969732748
1952-08-20,414.8128934080376
1952-08-21,416.52237043589287
1952-08-22,418.2502195300658
1952-08-23,419.996738462663
1952-08-24,421.76223147574905
1952-08-25,423.54700945802864
1952-08-26,425.35139012735203
1952-08-27,427.17569821926605
1952-08-28,429.02026568184635
1952-08-29,430.8854318770586
1952-08-30,432.77154378890145
1952-08-31,434.6789562386034
1952-09-01,439.79723125117755
1952-09-02,444.93484657419066
1952-09-03,450.0919120363392
1952-09-04,455.26853829948186
1952-09-05,460.4648368665562
1952-09-06,465.68092008958337
1952-09-07,470.9169011777667
1952-09-08,476.172894205681
1952-09-09,481.4490141215577
1952-09-10,486.7453767556647
1952-09-11,492.06209882878255
1952-09-12,497.39929796077894
1952-09-13,502.75709267928244
1952-09-14,508.1356024284569
1952-09-15,513.5349475778771
1952-09-16,518.9552494315092
1952-09-17,524.3966302367941
1952-09-18,529.8592131938393
1952-09-19,535.3431224647154
1952-09-20,540.8484831828654
1952-09-21,546.3754214626205
1952-09-22,551.924064408832
1952-09-23,557.4945401266137
1952-09-24,563.0869777312016
1952-09-25,568.7015073579296
1952-09-26,574.3382601723235
1952-09-27,579.9973683803153
1952-09-28,585.6789652385804
1952-09-29,591.3831850649955
1952-09-30,597.110163249225
1952-10-01,600.5818689086328
1952-10-02,604.0674812573778
1952-10-03,607.5670840226602
1952-10-04,611.0807616051542
1952-10-05,614.6085990857927
1952-10-06,618.1506822326353
1952-10-07,621.7070975078177
1952-10-08,625.277932074588
1952-10-09,628.8632738044269
1952-10-10,632.4632112842563
1952-10-11,636.0778338237354
1952-10-12,639.7072314626462
1952-10-13,643.3514949783689
1952-10-14,647.0107158934528
1952-10-15,650.6849864832758
1952-10-16,654.3743997838016
1952-10-17,658.0790495994327
1952-10-18,661.7990305109604
1952-10-19,665.5344378836144
1952-10-20,669.2853678752106
1952-10-21,673.0519174444042
1952-10-22,676.8341843590433
1952-10-23,680.6322672046275
1952-10-24,684.446265392875
1952-10-25,688.2762791703954
1952-10-26,692.1224096274724
1952-10-27,695.984758706959
1952-10-28,699.8634292132829
1952-10-29,703.7585248215696
1952-10-30,707.6701500868785
1952-10-31,711.5984104535585
1952-11-01,709.9091467769529
1952-11-02,708.217828035047
1952-11-03,706.5244504754398
1952-11-04,704.8290103365882
1952-11-05,703.1315038477804
1952-11-06,701.4319272291085
1952-11-07,699.7302766914385
1952-11-08,698.0265484363846
1952-11-09,696.3207386562785
1952-11-10,694.6128435341429
1952-11-11,692.9028592436624
1952-11-12,691.1907819491544
1952-11-13,689.4766078055408
1952-11-14,687.7603329583202
1952-11-15,686.0419535435365
1952-11-16,684.3214656877536
1952-11-17,682.5988655080223
1952-11-18,680.874149111854
1952-11-19,679.1473125971902
1952-11-20,677.4183520523728
1952-11-21,675.6872635561162
1952-11-22,673.9540431774745
1952-11-23,672.2186869758156
1952-11-24,670.4811910007884
1952-11-25,668.7415512922942
1952-11-26,666.999763880456
1952-11-27,665.2558247855893
1952-11-28,663.50973001817
1952-11-29,661.761475578806
1952-11-30,660.0110574582051
1952-12-01,659.6929320852772
1952-12-02,659.3736211519533
1952-12-03,659.053118018505
1952-12-04,658.7314159955304
1952-12-05,658.4085083434875
1952-12-06,658.0843882722253
1952-12-07,657.7590489405075
1952-12-08,657.4324834555289
1952-12-09,657.1046848724324
1952-12-10,656.7756461938133
1952-12-11,656.4453603692236
1952-12-12,656.1138202946669
1952-12-13,655.7810188120905
1952-12-14,655.446948708869
1952-12-15,655.1116027172836
1952-12-16,654.7749735139957
1952-12-17,654.4370537195133
1952-12-18,654.0978358976512
1952-12-19,653.7573125549867
1952-12-20,653.4154761403066
1952-12-21,653.0723190440502
1952-12-22,652.727833597744
1952-12-23,652.3820120734296
1952-12-24,652.0348466830887
1952-12-25,651.6863295780544
1952-12-26,651.3364528484233
1952-12-27,650.9852085224544
1952-12-28,650.6325885659662
1952-12-29,650.2785848817222
1952-12-30,649.9231893088112
1952-12-31,649.5663936220217
1953-01-01,654.9614489629763
1953-01-02,660.4246599232648
1953-01-03,665.9573262253034
1953-01-04,671.5607808503985
